Endpoint;DTMI
points;"dtmi:org:brickschema:schema:Brick:Point;1"
alarms;"dtmi:org:brickschema:schema:Brick:Alarm;1"
commands;"dtmi:org:brickschema:schema:Brick:Command;1"
parameters;"dtmi:org:brickschema:schema:Brick:Parameter;1"
sensors;"dtmi:org:brickschema:schema:Brick:Sensor;1"
setpoints;"dtmi:org:brickschema:schema:Brick:Setpoint;1"
statuspoints;"dtmi:org:brickschema:schema:Brick:Status;1"
agents;"dtmi:org:w3id:rec:Agent;1"
assets;"dtmi:org:w3id:rec:Asset;1"
buildings;"dtmi:org:w3id:rec:Building;1"
buildingelements;"dtmi:org:w3id:rec:BuildingElement;1"
collections;"dtmi:org:w3id:rec:Collection;1"
events;"dtmi:org:w3id:rec:Event;1"
observations;"dtmi:org:w3id:rec:ObservationEvent;1"
actuations;"dtmi:org:w3id:rec:ActuationEvent;1"
exceptions;"dtmi:org:w3id:rec:ExceptionEvent;1"
information;"dtmi:org:w3id:rec:Information;1"
spaces;"dtmi:org:w3id:rec:Space;1"
documents;"dtmi:org:w3id:rec:Document;1"
levels;"dtmi:org:w3id:rec:Level;1"
sites;"dtmi:org:w3id:rec:Site;1"
subbuildings;"dtmi:org:w3id:rec:SubBuilding;1"
rooms;"dtmi:org:w3id:rec:Room;1"
zones;"dtmi:org:w3id:rec:Zone;1"
