Endpoint;DTMI
points;"dtmi:org:brickschema:schema:Brick:Point;1"
alarmpoints;"dtmi:org:brickschema:schema:Brick:Alarm;1"
commandpoints;"dtmi:org:brickschema:schema:Brick:Command;1"
parameterpoints;"dtmi:org:brickschema:schema:Brick:Parameter;1"
sensorpoints;"dtmi:org:brickschema:schema:Brick:Sensor;1"
setpoints;"dtmi:org:brickschema:schema:Brick:Setpoint;1"
statuspoints;"dtmi:org:brickschema:schema:Brick:Status;1"
agents;"dtmi:org:w3id:rec:Agent;1"
assets;"dtmi:org:w3id:rec:Asset;1"
buildingelements;"dtmi:org:w3id:rec:BuildingElement;1"
collections;"dtmi:org:w3id:rec:Collection;1"
events;"dtmi:org:w3id:rec:Event;1"
information;"dtmi:org:w3id:rec:Information;1"
spaces;"dtmi:org:w3id:rec:Space;1"
documents;"dtmi:org:w3id:rec:Document;1"
levels;"dtmi:org:w3id:rec:Level;1"
sites;"dtmi:org:w3id:rec:Site;1"
rooms;"dtmi:org:w3id:rec:Room;1"
